Target,DE_R1_mock,DE_R25_mock,DE_R1_R25,R1_LFC,R25_LFC,abs_R1_FC,abs_R25_FC,mean_fc
Glyma.01G036900,yes,yes,no,3.149276684,3.699657428,3.149276684,3.699657428,3.424467056
Glyma.01G037200,yes,yes,no,3.894578532,4.720495056,3.894578532,4.720495056,4.307536794
Glyma.01G038600,no,yes,no,-0.731792153,-0.960934672,0.731792153,0.960934672,0.846363412
Glyma.01G038700,yes,no,no,-0.67258566,-0.376569041,0.67258566,0.376569041,0.524577351
Glyma.01G040000,no,yes,no,-0.40294529,-0.621724559,0.40294529,0.621724559,0.512334925
Glyma.01G040200,yes,yes,no,-1.556110054,-1.790478376,1.556110054,1.790478376,1.673294215
Glyma.01G040900,yes,yes,no,3.398994504,3.689863137,3.398994504,3.689863137,3.54442882
Glyma.01G044100,yes,yes,no,1.078067732,1.761661637,1.078067732,1.761661637,1.419864685
Glyma.01G044200,no,yes,no,0.532500368,1.005123783,0.532500368,1.005123783,0.768812076
Glyma.01G045500,no,yes,no,-0.370557835,-0.626406491,0.370557835,0.626406491,0.498482163
Glyma.01G049100,no,yes,no,-0.53729628,-0.773924474,0.53729628,0.773924474,0.655610377
Glyma.01G053800,no,yes,no,0.732674145,1.305321196,0.732674145,1.305321196,1.018997671
Glyma.01G054200,no,yes,no,-0.592884629,-0.906626259,0.592884629,0.906626259,0.749755444
Glyma.01G054400,no,yes,yes,0.148530822,-0.739980279,0.148530822,0.739980279,0.444255551
Glyma.01G056100,yes,yes,no,2.488927137,3.860871683,2.488927137,3.860871683,3.17489941
Glyma.01G057400,no,yes,no,0.52891587,1.001459759,0.52891587,1.001459759,0.765187814
Glyma.01G057500,no,yes,no,-0.745616453,-1.365107908,0.745616453,1.365107908,1.055362181
Glyma.01G058300,no,yes,no,-0.370530739,-0.931520343,0.370530739,0.931520343,0.651025541
Glyma.01G061500,yes,no,no,0.872896205,0.2550693,0.872896205,0.2550693,0.563982753
Glyma.01G061800,no,yes,no,0.588144485,1.105093858,0.588144485,1.105093858,0.846619171
Glyma.01G062000,no,yes,no,-0.67367413,-0.806785413,0.67367413,0.806785413,0.740229771
Glyma.01G062600,no,yes,no,-1.222435184,-1.955397353,1.222435184,1.955397353,1.588916269
Glyma.01G063000,no,yes,no,0.593397348,0.697608351,0.593397348,0.697608351,0.645502849
Glyma.01G063800,yes,yes,no,-1.055267568,-1.540192743,1.055267568,1.540192743,1.297730155
Glyma.01G065800,yes,yes,no,2.125864511,2.711534323,2.125864511,2.711534323,2.418699417
Glyma.01G068200,no,yes,no,-1.762170115,-3.26014097,1.762170115,3.26014097,2.511155543
Glyma.01G069000,no,yes,no,0.26225161,2.086115017,0.26225161,2.086115017,1.174183313
Glyma.01G071300,yes,yes,no,1.059419315,1.402193775,1.059419315,1.402193775,1.230806545
Glyma.01G074500,no,yes,no,0.803216934,1.602144188,0.803216934,1.602144188,1.202680561
Glyma.01G074600,yes,yes,yes,2.632355751,3.786798493,2.632355751,3.786798493,3.209577122
Glyma.01G074800,no,yes,no,-0.785545708,-1.559785841,0.785545708,1.559785841,1.172665774
Glyma.01G076100,yes,no,no,-0.991062772,-0.704810079,0.991062772,0.704810079,0.847936425
Glyma.01G077000,no,yes,no,3.581059831,5.115086268,3.581059831,5.115086268,4.348073049
Glyma.01G077100,no,yes,no,-1.027147,-1.833624498,1.027147,1.833624498,1.430385749
Glyma.01G078400,yes,no,no,-0.900067616,-0.735691103,0.900067616,0.735691103,0.817879359
Glyma.01G078800,no,yes,no,-1.250469066,-1.844931487,1.250469066,1.844931487,1.547700277
Glyma.01G081600,no,yes,no,0.641507863,1.139134314,0.641507863,1.139134314,0.890321089
Glyma.01G082802,no,yes,no,1.403598266,1.783989068,1.403598266,1.783989068,1.593793667
Glyma.01G083000,no,yes,no,1.337000587,1.596606358,1.337000587,1.596606358,1.466803472
Glyma.01G084500,no,yes,no,-0.298606321,-0.635573547,0.298606321,0.635573547,0.467089934
Glyma.01G086900,no,yes,no,1.529186945,2.705866615,1.529186945,2.705866615,2.11752678
Glyma.01G087900,yes,yes,no,-1.323505179,-1.725332499,1.323505179,1.725332499,1.524418839
Glyma.01G090400,yes,yes,no,4.756612829,5.572036753,4.756612829,5.572036753,5.164324791
