TF,TF1_TF2_count,TF1_count,TF2_count,cosine,zscore,helper
ERF096,185,754,479,0.307835214,15.56720422,0
ERF008,299,455,2077,0.307572315,16.28186887,0
MYB3,97,256,389,0.307380952,20.15254326,0
WRKY30,189,605,625,0.307357707,15.91892138,0
NAC025,105,298,393,0.306820866,21.30935987,0
MYB30,111,757,173,0.306726986,20.79114217,0
ERF115,201,895,481,0.30634585,15.88029911,0
ERF5,198,200,2103,0.305302637,19.30890056,0
ERF008,268,455,1697,0.304991808,16.34239267,0
ERF069,115,1189,120,0.304450218,21.65604728,0
ERF115,128,895,200,0.302540454,19.38487267,0
WRKY43,71,204,270,0.302525079,17.63113148,0
WRKY45,138,395,527,0.302465072,18.5639993,0
ATMYB31,190,718,551,0.302075553,14.66308542,0
ERF034,53,64,481,0.302073999,20.53863652,0
ERF008,106,455,272,0.301311505,21.47312816,0
ERF013,234,1260,479,0.301205452,15.05211376,0
ERF019,89,321,272,0.301198662,19.56076606,0
ERF008,303,455,2240,0.300132428,17.87857976,0
ERF019,43,321,64,0.300003245,19.80029725,0
ERF011,102,241,481,0.299584343,21.64657547,0
NAC055,73,239,249,0.299243163,21.43628907,0
NAC038,100,411,272,0.299085003,19.20894224,0
WRKY31,203,738,625,0.298901331,14.12090017,0
MYB3R1,69,202,264,0.298793704,19.14436785,0
MYB17,112,551,256,0.298210026,19.00055359,0
ERF023,258,773,971,0.297797018,12.00044716,0
ERF104,199,2240,200,0.297313117,18.34700854,0
ERF109,213,1068,481,0.297181273,15.75917889,0
BHLH72,46,429,56,0.29678037,18.98764078,0
MYB33,58,199,192,0.296722747,17.47305618,0
MYB55,60,195,210,0.296499727,19.69312593,0
NAC005,184,415,932,0.295859704,17.57464633,0
ERF069,223,1189,479,0.295492307,15.81163737,0
ERF003,198,2245,200,0.295489477,15.23928571,0
ERF105,211,479,1068,0.295004793,12.1718409,0
ERF010,38,69,241,0.294679911,22.51356932,0
WRKY21,310,1833,605,0.294376254,13.03084191,0
ERF038,305,481,2240,0.293834842,12.57434115,0
MYB49,84,206,397,0.293731432,15.94300992,0
WRKY42,253,1190,625,0.293364144,14.02654738,0
ERF039,97,146,754,0.292354399,19.92806908,0
NAC054,149,736,355,0.291496393,18.95109257,0
WRKY21,534,1833,1833,0.291325696,32.13654519,0
ERF019,99,321,360,0.29122686,18.60555837,0
MYB3,77,256,274,0.290733757,19.78861632,0
ERF7,74,971,67,0.290124699,20.84091198,0
ERF015,55,79,455,0.290097139,21.24516601,0
MYB121,48,162,169,0.29009509,22.21443942,0
NAC025,80,298,256,0.289642223,18.64268653,0
ERF096,221,754,773,0.28947886,12.09715522,0
ERF7,108,971,146,0.286838678,20.90010399,0
MYB67,133,554,389,0.28649824,19.55820896,0
NAC083,72,249,256,0.285175913,16.69570612,0
MYB96,157,704,431,0.285019575,16.18456069,0
ERF2,238,1460,481,0.284006311,12.84451275,0
ERF105,80,479,166,0.283705782,17.66968278,0
ERF10,268,1872,481,0.282429029,12.32774006,0
WRKY42,417,1190,1833,0.282345806,7.29000497,0
ERF019,42,321,69,0.28220989,19.55641264,0
WRKY50,93,280,388,0.282155207,20.60586877,0
ERF105,162,479,689,0.281992558,15.41625532,0
MYB96,176,704,554,0.28181977,15.32703944,0
MYB41,92,389,274,0.281797895,16.82657879,0
ERF122,219,481,1260,0.281310734,12.85810169,0
ERF043,88,272,360,0.281220496,17.47169729,0
ERF073,222,808,773,0.280903757,13.55048378,0
WRKY57,8,17,48,0.280056017,18.05470247,0
MYB67,92,554,195,0.279908212,14.27218573,0
WRKY55,54,133,280,0.279826554,19.59117687,0
ERF014,91,360,295,0.279240967,18.84210526,0
MYB33,59,199,225,0.278826607,18.85750661,0
MYB83,199,674,757,0.2785962,13.47734779,0
MYB63,103,173,793,0.27808501,13.57709462,0
NAC098,164,847,411,0.277959314,13.71473344,0
MYB80,69,268,230,0.277918704,17.41842891,0
